run_id,microphone,camera,screen,duration,app,network,memory,energy,cpu
21,1,0,1,2,2,51154,2.18333,10.1396,0.29457
22,1,0,1,2,1,6104,1.81624,10.20112,0.15196
23,1,1,0,8,2,98729,2.00043,40.52414,0.1551
24,1,1,1,2,1,17555,1.85339,10.3101,0.15898
25,1,1,1,8,1,55227,1.89766,41.48081,0.15341
26,1,1,0,8,2,98708,2.00043,40.80805,0.1483
27,1,0,1,2,2,39917,2.19153,10.34716,0.20664
28,1,0,0,2,2,16167,1.9,9.90810000000001,0.10507
29,1,0,0,8,3,4209,1.99319,40.3123099999999,0.09027
30,1,0,1,8,2,165984,2.16674,41.52127,0.21086
31,1,1,0,8,2,99353,2.00533,40.9463,0.15645
32,1,0,1,8,1,12444,1.80449,40.63816,0.1502
33,1,0,1,2,2,41676,2.12458,10.41841,0.20878
34,1,0,0,2,3,1034,2,10.13652,0.08257
35,1,0,1,2,1,4436,1.81111,10.19948,0.14436
36,1,0,0,2,1,3969,1.66239,9.99882,0.09655
37,1,0,0,8,3,4433,1.99021,40.76896,0.09326
38,1,0,1,2,3,1775,2.30424,10.57029,0.11482
39,1,0,0,8,1,6587,1.68584,39.7559,0.09299
40,1,0,1,2,1,4473,1.81709,10.29245,0.15095
41,1,0,0,2,3,1029,2,10.28974,0.08913
42,1,1,1,2,1,15607,1.86356,10.27754,0.15554
43,1,0,0,2,2,16158,1.92931,9.99196,0.10837
44,1,1,0,2,3,32101,2.20254,10.50149,0.12151
45,1,0,0,8,1,6454,1.69421,39.98608,0.08833
46,1,0,1,8,2,167939,2.15711,41.78515,0.18961
47,1,1,1,8,1,63947,1.81064,41.72184,0.15649
48,1,0,0,8,1,6570,1.68927,39.69386,0.09318
49,1,1,1,8,1,51926,1.77058,41.2935700000001,0.15626
50,1,1,0,8,3,121182,2.19302,42.02065,0.11404
51,1,0,1,2,2,41532,2.15169,10.3258,0.19546
52,1,1,1,2,1,14963,1.84615,10.2639,0.16053
53,1,1,1,8,2,199461,2.29002,41.5611400000001,0.19924
54,1,1,1,8,2,202004,2.28962,41.55683,0.20077
55,1,1,1,2,3,30574,2.41356,10.5503,0.16349
56,1,1,1,8,2,200433,2.29407,41.55497,0.20249
57,1,1,1,8,3,103751,2.40403,42.50351,0.16262
58,1,0,0,8,3,4345,1.99362,40.41054,0.09397
59,1,0,0,8,3,4151,1.98358,40.444,0.08709
60,1,0,0,8,1,6601,1.68155,39.9299,0.09446
61,1,0,0,2,3,1021,2,10.10184,0.08459
62,1,1,0,2,1,21981,1.74359,10.1098,0.18937
63,1,0,0,8,2,63856,1.90644,40.22997,0.10212
64,1,1,1,8,2,199275,2.29958,41.85115,0.21147
65,1,0,1,8,2,167716,2.13941,41.96286,0.19352
66,1,1,1,8,1,60156,1.74915,41.65497,0.15576
67,1,1,0,8,1,74606,1.61301,41.34925,0.18536
68,1,0,1,2,2,40774,2.13305,10.33287,0.20296
69,1,0,0,8,2,64540,1.89206,39.78656,0.10674
70,1,0,0,2,2,16089,1.89828,9.96888,0.10975
71,1,1,0,2,3,28785,2.20254,10.42888,0.11726
72,1,1,0,2,1,20692,1.75508,10.27027,0.19082
73,1,1,1,8,1,52904,1.81489,42.23104,0.1528
74,1,0,1,8,3,6898,2.30085,42.33449,0.12103
75,1,1,0,2,1,22010,1.66068,10.19438,0.19396
76,1,1,1,2,2,49443,2.3,10.34026,0.20626
77,1,1,0,2,1,21290,1.66154,10.36173,0.18812
78,1,1,1,8,2,203816,2.29767,41.66209,0.20012
79,1,1,0,2,3,30731,2.20254,10.42191,0.10673
80,1,1,0,2,2,24247,2.00171,10.1378,0.14918
81,1,0,1,2,2,41666,2.14746,10.31631,0.20271
82,1,0,1,8,2,166702,2.14831,40.8551000000001,0.20401
83,1,1,1,2,2,50399,2.29831,10.09236,0.22766
84,1,1,1,8,3,112231,2.40552,41.79775,0.17777
85,1,0,1,8,1,13715,1.70321,40.28766,0.16022
86,1,0,1,8,1,11711,1.80321,40.26537,0.14708
87,1,1,0,2,3,26658,2.19231,10.23604,0.14622
88,1,0,0,8,3,4314,1.97816,40.57054,0.11352
89,1,0,0,2,2,16047,1.925,9.94724999999999,0.10137
90,1,1,1,8,2,199142,2.28856,40.8518200000001,0.20564
91,1,1,0,2,3,24653,2.11102,10.19657,0.14798
92,1,1,0,8,1,70722,1.62137,40.24791,0.19505
93,1,0,0,2,2,16185,1.89828,9.97049999999999,0.1091
94,1,1,0,2,1,618,1.50862,10.22918,0.06118
95,1,1,0,8,3,104862,2.20149,41.02697,0.15049
96,1,1,0,8,1,550,1.50237,41.16982,0.06031
